trial_number,lr,l2,tag_num_gnn_layers,tag_negative_slope,feat_drop,attn_drop,layer_num,loss
0,1.803842e-03,2.185919e-04,5,7.413910e-02,2.282316e-01,2.404539e-01,3,"tensor(7.1452, device='cuda:0')"
1,9.593176e-04,1.608128e-03,2,4.513361e-02,4.779129e-01,2.762198e-01,3,"tensor(8.0126, device='cuda:0')"
2,5.540078e-04,3.646328e-04,5,2.512932e-02,4.488005e-01,2.846775e-01,3,"tensor(7.5345, device='cuda:0')"
3,3.730908e-03,2.002230e-03,4,4.166734e-02,1.405433e-01,4.582852e-01,4,"tensor(7.6050, device='cuda:0')"
4,8.090114e-04,2.953181e-04,2,4.088780e-02,4.354140e-01,2.759978e-01,5,"tensor(7.3521, device='cuda:0')"
5,2.782339e-03,3.460202e-04,5,7.771559e-03,2.832892e-01,2.884690e-01,3,"tensor(7.2761, device='cuda:0')"
6,3.838915e-03,4.209899e-04,3,2.437274e-02,3.649812e-01,3.701344e-01,4,"tensor(9.0033, device='cuda:0')"
7,3.907994e-03,3.335409e-04,3,3.188569e-03,4.282668e-01,3.792518e-01,5,"tensor(9.3645, device='cuda:0')"
8,1.062405e-03,4.801877e-04,3,7.952322e-02,2.105539e-01,2.319859e-01,3,"tensor(7.5798, device='cuda:0')"
9,1.889865e-03,3.884174e-04,5,8.956507e-02,4.338766e-01,3.043359e-01,5,"tensor(7.2413, device='cuda:0')"
